Hotel_name,Date,Price,Client,Rating,Grade,Address,Day
롯데 호텔 제주,2023-07-25,500000,1,8.8,5,"서귀포, 대한민국",화
라마다 제주 시티 호텔,2023-07-25,76186,1,8.1,4,"제주, 대한민국",화
파르나스 호텔 제주,2023-07-25,620000,1,9.2,5,"서귀포, 대한민국",화
베스트웨스턴 제주호텔,2023-07-25,65819,1,7.6,4,"제주, 대한민국",화
랜딩관 제주신화월드 호텔앤리조트,2023-07-25,194727,1,8.3,5,"서귀포, 대한민국",화
메종 글래드 제주,2023-07-25,114436,1,8.1,5,"제주, 대한민국",화
에코랜드 호텔,2023-07-25,344213,1,8.6,5,"제주, 대한민국",화
제주 신라 호텔,2023-07-25,496548,1,9.0,5,"서귀포, 대한민국",화
라마다 프라자 제주 호텔,2023-07-25,181818,1,8.2,5,"제주, 대한민국",화
그랜드 하얏트 제주,2023-07-25,427998,1,8.8,5,"제주, 대한민국",화
신라스테이 제주,2023-07-25,113850,1,8.0,4,"제주, 대한민국",화
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,2023-07-25,88055,1,7.7,4,"제주, 대한민국",화
호텔 브릿지 서귀포,2023-07-25,83471,1,8.0,4,"서귀포, 대한민국",화
제주 부영 호텔&리조트,2023-07-25,180992,1,9.1,5,"서귀포, 대한민국",화
휘닉스 제주 섭지코지,2023-07-25,330580,1,7.8,4,"서귀포, 대한민국",화
탐라스테이 호텔 제주,2023-07-25,92752,1,7.7,4,"제주, 대한민국",화
더 베스트 제주 성산,2023-07-25,48348,1,7.9,4,"서귀포, 대한민국",화
호텔 리젠트 마린 더 블루,2023-07-25,113843,1,8.2,4,"제주, 대한민국",화
그랜드 조선 제주,2023-07-25,425000,1,8.9,5,"서귀포, 대한민국",화
롯데시티호텔 제주,2023-07-25,163637,1,8.5,4,"제주, 대한민국",화
더 그랜드 섬오름,2023-07-25,170000,1,8.3,3,"서귀포, 대한민국",화
더큐브 리조트 제주,2023-07-25,78383,1,8.2,4,"서귀포, 대한민국",화
