date,week,car_name,price,engine,seater
2023.7.26,수,모닝 어반 ,"57,200원",가솔린 ,5
2023.7.26,수,스파크 ,"57,200원",가솔린 ,5
2023.7.26,수,더 뉴 레이 ,"63,050원",가솔린 ,5
2023.7.26,수,캐스퍼 ,"71,500원",가솔린 ,4
2023.7.26,수,ALL NEW K3 ,"78,000원",가솔린 ,5
2023.7.26,수,더 뉴 K3 ,"84,500원",가솔린 ,5
2023.7.26,수,올 뉴 아반떼 ,"84,500원",가솔린 ,5
2023.7.26,수,코나 ,"88,000원",전기 ,5
2023.7.26,수,XM3 1.4 ,"90,000원",가솔린 ,5
2023.7.26,수,디 올 뉴 코나 4WD ,"90,000원",가솔린 ,5
2023.7.26,수,베리 뉴 티볼리 ,"90,000원",가솔린 ,5
2023.7.26,수,셀토스 4WD ,"90,000원",가솔린 ,5
2023.7.26,수,트레일 블레이저 2WD ,"90,000원",가솔린 ,5
2023.7.26,수,니로 ,"93,500원",전기 ,5
2023.7.26,수,INTERACTIVE K5 ,"102,000원",가솔린 ,5
2023.7.26,수,쏘나타 DN8 ,"102,000원",가솔린 ,5
2023.7.26,수,토레스 4WD ,"110,000원",가솔린 ,5
2023.7.26,수,EV6 4WD ,"121,000원",전기 ,5
2023.7.26,수,더 뉴 카니발  ,"121,000원",디젤 ,9
2023.7.26,수,아이오닉 5 4WD ,"121,000원",전기 ,5
2023.7.26,수,싼타페 TM 4WD  ,"126,000원",디젤 ,7
2023.7.26,수,스타리아 ,"126,500원",디젤 ,11
2023.7.26,수,카니발 KA4  ,"126,500원",디젤 ,9
2023.7.26,수,더 뉴 싼타페 4WD ,"132,000원",디젤 ,7
2023.7.26,수,쏘렌토 MQ4 4WD ,"132,000원",디젤 ,7
2023.7.26,수,THE NEW G70 2.0 ,"134,400원",가솔린 ,5
2023.7.26,수,G70 SHOOTING BRAKE ,"138,000원",가솔린 ,5
2023.7.26,수,K8 2.5 ,"150,000원",가솔린 ,5
2023.7.26,수,GV60 4WD ,"154,000원",전기 ,5
2023.7.26,수,TESLA MODEL 3 ,"165,000원",전기 ,5
2023.7.26,수,제네시스 G80 3.3 ,"165,000원",가솔린 ,5
2023.7.26,수,팰리세이드 4WD ,"181,500원",디젤 ,8
2023.7.26,수,THE K9 3.8 ,"190,000원",가솔린 ,5
2023.7.26,수,카니발 KA4 하이리무진 ,"198,000원",가솔린 ,7
2023.7.26,수,All New G80 ,"215,000원",전기 ,5
2023.7.26,수,GV80 4WD ,"240,000원",디젤 ,7
2023.7.26,수,쏠라티 ,"330,000원",디젤 ,15
