date,week,car_name,price,engine,seater,
2023.8.6,일,모닝 어반 ,"35,200원",가솔린 ,5,
2023.8.6,일,더 뉴 레이 ,"38,800원",가솔린 ,5,
2023.8.6,일,ALL NEW K3 ,"42,000원",가솔린 ,5,
2023.8.6,일,더 뉴 코나 4WD ,"42,000원",가솔린 ,5,
2023.8.6,일,캐스퍼 ,"44,000원",가솔린 ,4,
2023.8.6,일,XM3 1.4 ,"45,000원",가솔린 ,5,
2023.8.6,일,디 올 뉴 코나 4WD ,"45,000원",가솔린 ,5,
2023.8.6,일,셀토스 4WD ,"45,000원",디젤 ,5,
2023.8.6,일,트레일 블레이저 2WD ,"45,000원",가솔린 ,5,
2023.8.6,일,더 뉴 K3 ,"45,500원",가솔린 ,5,
2023.8.6,일,올 뉴 아반떼 ,"45,500원",가솔린 ,5,
2023.8.6,일,코나 ,"48,000원",전기 ,5,
2023.8.6,일,INTERACTIVE K5 ,"51,000원",가솔린 ,5,
2023.8.6,일,니로 ,"51,000원",전기 ,5,
2023.8.6,일,쏘나타 DN8 ,"51,000원",가솔린 ,5,
2023.8.6,일,K7 PREMIER ,"58,500원",가솔린 ,5,
2023.8.6,일,토레스 4WD ,"60,000원",가솔린 ,5,
2023.8.6,일,더 마스터 쏘렌토 4WD ,"63,000원",디젤 ,7,
2023.8.6,일,싼타페 TM 4WD ,"63,000원",디젤 ,7,
2023.8.6,일,EV6 4WD ,"66,000원",전기 ,5,
2023.8.6,일,더 뉴 싼타페 4WD ,"66,000원",디젤 ,7,
2023.8.6,일,쏘렌토 MQ4 4WD ,"66,000원",디젤 ,7,
2023.8.6,일,아이오닉 5 4WD ,"66,000원",전기 ,5,
2023.8.6,일,THE NEW G70 2.0 ,"67,200원",가솔린 ,5,
2023.8.6,일,G70 SHOOTING BRAKE ,"69,000원",가솔린 ,5,
2023.8.6,일,더 뉴 그랜저 2.5 ,"70,200원",가솔린 ,5,
2023.8.6,일,K8 2.5 ,"75,000원",가솔린 ,5,
2023.8.6,일,TESLA MODEL 3 ,"82,500원",전기 ,5,
2023.8.6,일,GV60 4WD ,"84,000원",전기 ,5,
2023.8.6,일,GV70 4WD ,"84,000원",디젤 ,5,
2023.8.6,일,더 뉴 카니발  ,"88,000원",디젤 ,11,
2023.8.6,일,더 뉴 카니발 ,"88,000원",디젤 ,9,
2023.8.6,일,All New G80 2.5 ,"90,000원",가솔린 ,5,
2023.8.6,일,GV70 ,"90,000원",전기 ,5,
2023.8.6,일,제네시스 G80 3.3 ,"90,000원",가솔린 ,5,
2023.8.6,일,스타리아 ,"92,000원",디젤 ,11,
2023.8.6,일,카니발 KA4 ,"92,000원",디젤 ,9,
2023.8.6,일,THE K9 3.8 ,"95,000원",가솔린 ,5,
2023.8.6,일,팰리세이드 4WD ,"99,000원",디젤 ,8,
2023.8.6,일,더 뉴 카니발 리무진 ,"100,000원",디젤 ,7,
2023.8.6,일,All New G80 ,"107,500원",전기 ,5,
2023.8.6,일,카니발 KA4 하이리무진 ,"108,000원",가솔린 ,7,
2023.8.6,일,GV80 4WD ,"120,000원",디젤 ,7,
2023.8.6,일,G90 3.8 ,"122,500원",가솔린 ,5,
2023.8.6,일,쏠라티 ,"247,500원",디젤 ,15,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
