date,week,car_name,price,engine,seater
2023.7.27,목,모닝 어반 ,"70,400원",가솔린 ,5
2023.7.27,목,캐스퍼 ,"88,000원",가솔린 ,4
2023.7.27,목,ALL NEW K3 ,"96,000원",가솔린 ,5
2023.7.27,목,XM3 1.4 ,"97,500원",가솔린 ,5
2023.7.27,목,디 올 뉴 코나 4WD ,"97,500원",가솔린 ,5
2023.7.27,목,베리 뉴 티볼리 ,"97,500원",가솔린 ,5
2023.7.27,목,트레일 블레이저 2WD ,"97,500원",가솔린 ,5
2023.7.27,목,더 뉴 K3 ,"104,000원",가솔린 ,5
2023.7.27,목,올 뉴 아반떼 ,"104,000원",가솔린 ,5
2023.7.27,목,코나 ,"104,000원",전기 ,5
2023.7.27,목,쏘나타 DN8 ,"110,500원",가솔린 ,5
2023.7.27,목,토레스 4WD ,"120,000원",가솔린 ,5
2023.7.27,목,K7 PREMIER ,"128,700원",가솔린 ,5
2023.7.27,목,더 뉴 그랜저 2.5 ,"128,700원",가솔린 ,5
2023.7.27,목,K8 2.5 ,"137,500원",가솔린 ,5
2023.7.27,목,EV6 4WD ,"143,000원",전기 ,5
2023.7.27,목,더 뉴 싼타페 4WD  ,"143,000원",디젤 ,7
2023.7.27,목,쏘렌토 MQ4 4WD ,"143,000원",디젤 ,7
2023.7.27,목,아이오닉 5 4WD ,"143,000원",전기 ,5
2023.7.27,목,THE NEW G70 2.0 ,"145,600원",가솔린 ,5
2023.7.27,목,G70 SHOOTING BRAKE ,"149,500원",가솔린 ,5
2023.7.27,목,All New G80 2.5 ,"150,000원",가솔린 ,5
2023.7.27,목,제네시스 G80 3.3 ,"150,000원",가솔린 ,5
2023.7.27,목,더 뉴 카니발  ,"165,000원",디젤 ,9
2023.7.27,목,스타리아  ,"172,500원",디젤 ,11
2023.7.27,목,카니발 KA4  ,"172,500원",디젤 ,9
2023.7.27,목,GV60 4WD ,"182,000원",전기 ,5
2023.7.27,목,더 뉴 카니발 리무진  ,"187,500원",디젤 ,7
2023.7.27,목,THE K9 3.8 ,"190,000원",가솔린 ,5
2023.7.27,목,TESLA MODEL 3 ,"198,000원",전기 ,5
2023.7.27,목,팰리세이드 4WD  ,"198,000원",디젤 ,8
2023.7.27,목,GV80 4WD ,"240,000원",디젤 ,7
2023.7.27,목,G90 3.8 ,"245,000원",가솔린 ,5
2023.7.27,목,카니발 KA4 하이리무진 ,"252,000원",가솔린 ,7
2023.7.27,목,All New G80 ,"258,000원",전기 ,5
2023.7.27,목,쏠라티 ,"467,500원",디젤 ,15
