date,week,car_name,price,engine,seater,
2023.8.5,토,코나 ,"56,000원",전기 ,5,
2023.8.5,토,모닝 어반 ,"57,200원",가솔린 ,5,
2023.8.5,토,더 뉴 K3 ,"58,500원",가솔린 ,5,
2023.8.5,토,올 뉴 아반떼 ,"58,500원",가솔린 ,5,
2023.8.5,토,INTERACTIVE K5 ,"59,500원",가솔린 ,5,
2023.8.5,토,니로 ,"59,500원",전기 ,5,
2023.8.5,토,쏘나타 DN8 ,"59,500원",가솔린 ,5,
2023.8.5,토,XM3 1.4 ,"67,500원",가솔린 ,5,
2023.8.5,토,디 올 뉴 코나 4WD ,"67,500원",가솔린 ,5,
2023.8.5,토,베리 뉴 티볼리 ,"67,500원",가솔린 ,5,
2023.8.5,토,셀토스 4WD ,"67,500원",디젤 ,5,
2023.8.5,토,트레일 블레이저 2WD ,"67,500원",가솔린 ,5,
2023.8.5,토,K7 PREMIER ,"70,200원",가솔린 ,5,
2023.8.5,토,더 뉴 그랜저 2.5 ,"70,200원",가솔린 ,5,
2023.8.5,토,캐스퍼 ,"71,500원",가솔린 ,4,
2023.8.5,토,K8 2.5 ,"75,000원",가솔린 ,5,
2023.8.5,토,EV6 4WD ,"77,000원",전기 ,5,
2023.8.5,토,아이오닉 5 4WD ,"77,000원",전기 ,5,
2023.8.5,토,THE NEW G70 2.0 ,"78,400원",가솔린 ,5,
2023.8.5,토,토레스 4WD ,"80,000원",가솔린 ,5,
2023.8.5,토,G70 SHOOTING BRAKE ,"80,500원",가솔린 ,5,
2023.8.5,토,쏘렌토 MQ4 4WD ,"88,000원",디젤 ,7,
2023.8.5,토,All New G80 2.5 ,"90,000원",가솔린 ,5,
2023.8.5,토,제네시스 G80 3.3 ,"90,000원",가솔린 ,5,
2023.8.5,토,더 마스터 쏘렌토 4WD ,"94,500원",디젤 ,7,
2023.8.5,토,싼타페 TM 4WD ,"94,500원",디젤 ,7,
2023.8.5,토,GV60 4WD ,"98,000원",전기 ,5,
2023.8.5,토,TESLA MODEL 3 ,"99,000원",전기 ,5,
2023.8.5,토,더 뉴 싼타페 4WD ,"99,000원",디젤 ,7,
2023.8.5,토,GV70 ,"105,000원",전기 ,5,
2023.8.5,토,THE K9 3.8 ,"114,000원",가솔린 ,5,
2023.8.5,토,더 뉴 카니발 ,"121,000원",디젤 ,11,
2023.8.5,토,더 뉴 카니발 ,"121,000원",디젤 ,9,
2023.8.5,토,GV70 4WD ,"126,000원",디젤 ,5,
2023.8.5,토,스타리아 ,"126,500원",디젤 ,11,
2023.8.5,토,All New G80 ,"129,000원",전기 ,5,
2023.8.5,토,팰리세이드 4WD ,"132,000원",디젤 ,8,
2023.8.5,토,더 뉴 카니발 리무진 ,"137,500원",디젤 ,7,
2023.8.5,토,카니발 KA4 ,"138,000원",디젤 ,9,
2023.8.5,토,G90 3.8 ,"147,000원",가솔린 ,5,
2023.8.5,토,GV80 4WD ,"160,000원",디젤 ,7,
2023.8.5,토,카니발 KA4 하이리무진 ,"198,000원",가솔린 ,7,
2023.8.5,토,쏠라티 ,"330,000원",디젤 ,15,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
