Hotel_name,Date,Price,Client,Rating,Grade,Address
롯데 호텔 제주,07.25.Tue,500000,1,8.8,5,"서귀포, 대한민국"
라마다 제주 시티 호텔,07.25.Tue,76186,1,8.1,4,"제주, 대한민국"
파르나스 호텔 제주,07.25.Tue,620000,1,9.2,5,"서귀포, 대한민국"
베스트웨스턴 제주호텔,07.25.Tue,60911,1,7.6,4,"제주, 대한민국"
랜딩관 제주신화월드 호텔앤리조트,07.25.Tue,209664,1,8.3,5,"서귀포, 대한민국"
메종 글래드 제주,07.25.Tue,114436,1,8.1,5,"제주, 대한민국"
에코랜드 호텔,07.25.Tue,344213,1,8.6,5,"제주, 대한민국"
제주 신라 호텔,07.25.Tue,496548,1,9.0,5,"서귀포, 대한민국"
라마다 프라자 제주 호텔,07.25.Tue,181818,1,8.2,5,"제주, 대한민국"
그랜드 하얏트 제주,07.25.Tue,427998,1,8.8,5,"제주, 대한민국"
신라스테이 제주,07.25.Tue,113850,1,8.0,4,"제주, 대한민국"
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,07.25.Tue,88055,1,7.7,4,"제주, 대한민국"
호텔 브릿지 서귀포,07.25.Tue,45592,1,8.0,4,"서귀포, 대한민국"
제주 부영 호텔&리조트,07.25.Tue,185951,1,9.1,5,"서귀포, 대한민국"
휘닉스 제주 섭지코지,07.25.Tue,345454,1,7.8,4,"서귀포, 대한민국"
탐라스테이 호텔 제주,07.25.Tue,92752,1,7.7,4,"제주, 대한민국"
더 베스트 제주 성산,07.25.Tue,48348,1,7.9,4,"서귀포, 대한민국"
호텔 리젠트 마린 더 블루,07.25.Tue,113843,1,8.2,4,"제주, 대한민국"
그랜드 조선 제주,07.25.Tue,433500,1,8.9,5,"서귀포, 대한민국"
롯데시티호텔 제주,07.25.Tue,176786,1,8.5,4,"제주, 대한민국"
더 그랜드 섬오름,07.25.Tue,170000,1,8.3,3,"서귀포, 대한민국"
더큐브 리조트 제주,07.25.Tue,78383,1,8.2,4,"서귀포, 대한민국"
코델리아 S 호텔,07.25.Tue,33058,1,7.6,3,"서귀포, 대한민국"
서머셋 제주신화월드,07.25.Tue,605045,1,8.6,5,"서귀포, 대한민국"
히든 클리프 호텔&네이쳐,07.25.Tue,260000,1,8.3,5,"서귀포, 대한민국"
해비치 호텔 & 리조트,07.25.Tue,450000,1,8.6,5,"서귀포, 대한민국"
엠버퓨어힐호텔&리조트,07.25.Tue,388182,1,9.2,5,"제주, 대한민국"
신화관 제주신화월드 호텔앤리조트,07.25.Tue,344355,1,8.3,5,"서귀포, 대한민국"
유탑 유블레스호텔,07.25.Tue,150545,1,8.0,4,"제주, 대한민국"
캠퍼트리 호텔 앤 리조트,07.25.Tue,140579,1,8.4,4,"제주, 대한민국"
한림리조트,07.25.Tue,193305,1,8.8,4,"제주, 대한민국"
그라벨 호텔,07.25.Tue,99974,1,8.1,3,"제주, 대한민국"
호텔 케니 서귀포,07.25.Tue,28853,1,8.1,4,"서귀포, 대한민국"
브라운 스위트 제주,07.25.Tue,50902,1,7.3,5,"서귀포, 대한민국"
메리어트관 제주신화월드 호텔앤리조트,07.25.Tue,267300,1,8.4,4,"서귀포, 대한민국"
호텔 난타,07.25.Tue,68470,1,8.6,4,"제주, 대한민국"
서귀포 JS호텔,07.25.Tue,53327,1,8.4,3,"서귀포, 대한민국"
스타즈 호텔 제주 로베로점,07.25.Tue,35784,1,8.0,4,"제주, 대한민국"
세인트 비치 호텔,07.25.Tue,100800,1,7.4,등급 정보 없음,"제주, 대한민국"
골든튤립 제주성산호텔,07.25.Tue,60465,1,7.7,등급 정보 없음,"서귀포, 대한민국"
제주 디 아일랜드 블루 호텔,07.25.Tue,59500,1,8.1,4,"서귀포, 대한민국"
WE호텔 제주,07.25.Tue,240640,1,8.5,5,"서귀포, 대한민국"
훈데르트힐즈,07.25.Tue,189020,1,평점없음,3,"제주, 대한민국"
라온 호텔 앤 리조트,07.25.Tue,67382,1,6.8,4,"제주, 대한민국"
엠스테이 호텔 제주,07.25.Tue,45089,1,7.8,4,"서귀포, 대한민국"
호텔 샬롬 제주,07.25.Tue,44666,1,7.9,5,"제주, 대한민국"
호텔 토스카나,07.25.Tue,305454,1,9.0,4,"서귀포, 대한민국"
오션스위츠 제주 호텔,07.25.Tue,86569,1,8.1,4,"제주, 대한민국"
아시아호텔,07.25.Tue,47106,1,8.4,5,"제주, 대한민국"
글로스터 호텔 제주,07.25.Tue,79850,1,8.3,3,"제주, 대한민국"
스위트 호텔 제주,07.25.Tue,171269,1,8.3,3,"서귀포, 대한민국"
레슬리 호텔,07.25.Tue,46800,1,7.8,4,"제주, 대한민국"
켄싱턴리조트 서귀포,07.25.Tue,214050,1,8.1,4,"서귀포, 대한민국"
제주 항공우주 호텔,07.25.Tue,69091,1,8.4,4,"서귀포, 대한민국"
유니호텔 제주,07.25.Tue,98264,1,7.7,4,"제주, 대한민국"
금호 제주 리조트,07.25.Tue,141217,1,7.4,4,"서귀포, 대한민국"
신신호텔 제주공항,07.25.Tue,41715,1,7.6,4,"제주, 대한민국"
제주 센트럴시티호텔,07.25.Tue,61610,1,7.7,3,"제주, 대한민국"
플레이스 캠프 제주,07.25.Tue,39790,1,8.3,등급 정보 없음,"서귀포, 대한민국"
담모라 리조트,07.25.Tue,45000,1,7.3,등급 정보 없음,"서귀포, 대한민국"
신신호텔 제주월드컵,07.25.Tue,28880,1,7.7,4,"서귀포, 대한민국"
퍼스트70 호텔,07.25.Tue,41234,1,8.1,4,"서귀포, 대한민국"
호텔 케니 모슬포,07.25.Tue,34684,1,8.4,3,"서귀포, 대한민국"
제주 웨스턴 그레이스 호텔,07.25.Tue,34993,1,8.4,3,"서귀포, 대한민국"
포도 호텔,07.25.Tue,975091,1,8.8,4,"서귀포, 대한민국"
신신호텔 서귀포,07.25.Tue,30584,1,8.0,4,"서귀포, 대한민국"
골든데이지 서귀포오션 호텔,07.25.Tue,31799,1,7.9,5,"서귀포, 대한민국"
서귀포 칼 호텔,07.25.Tue,113802,1,8.2,4,"서귀포, 대한민국"
호텔 위드 제주,07.25.Tue,58055,1,8.0,4,"제주, 대한민국"
소노캄 제주,07.25.Tue,200827,1,7.5,2,"서귀포, 대한민국"
애월 스테이 인 제주,07.25.Tue,63405,1,8.6,5,"제주, 대한민국"
벨룸 리조트,07.25.Tue,333304,1,8.8,3,"서귀포, 대한민국"
호텔더그랑 서귀포,07.25.Tue,73806,1,10.0,3,"서귀포, 대한민국"
흰수염 고래 리조트,07.25.Tue,235388,1,8.5,4,"제주, 대한민국"
코업시티호텔 성산,07.25.Tue,55881,1,7.9,4,"서귀포, 대한민국"
그랜드 밀리언스호텔 서귀포,07.25.Tue,27272,1,8.3,4,"서귀포, 대한민국"
위드스테이호텔,07.25.Tue,49441,1,8.7,3,"제주, 대한민국"
헤이 서귀포,07.25.Tue,47021,1,7.9,4,"서귀포, 대한민국"
함덕비치스테이제주,07.25.Tue,91240,1,8.2,등급 정보 없음,"제주, 대한민국"
호텔에어시티,07.25.Tue,55680,1,7.9,등급 정보 없음,"제주, 대한민국"
아스타 호텔,07.25.Tue,69141,1,8.4,4,"제주, 대한민국"
샐리스 제주 호텔,07.25.Tue,102465,1,7.2,3,"제주, 대한민국"
롯데 리조트 아트 빌라스,07.25.Tue,715909,1,8.1,4,"서귀포, 대한민국"
소노벨 제주,07.25.Tue,235759,1,7.9,3,"제주, 대한민국"
스카이 호텔,07.25.Tue,49238,1,8.0,4,"제주, 대한민국"
호텔 화인 제주,07.25.Tue,60529,1,9.2,5,"서귀포, 대한민국"
위드시티호텔,07.25.Tue,51317,1,7.2,3,"제주, 대한민국"
제주 썬호텔,07.25.Tue,114545,1,8.8,3,"제주, 대한민국"
머큐어 앰배서더 제주,07.25.Tue,236364,1,8.5,3,"서귀포, 대한민국"
루체빌,07.25.Tue,111870,1,8.4,3,"서귀포, 대한민국"
프리뮬러 호텔 (구 산방산 호텔),07.25.Tue,64916,1,8.5,4,"서귀포, 대한민국"
제주 아이브 리조트,07.25.Tue,75131,1,7.9,4,"서귀포, 대한민국"
베니키아 호텔 제주,07.25.Tue,39574,1,7.5,4,"제주, 대한민국"
제주 부영 리조트,07.25.Tue,262022,1,8.7,3,"서귀포, 대한민국"
기린빌라리조트 제주,07.25.Tue,299278,1,9.0,3,"서귀포, 대한민국"
벤티모 호텔 앤 레지던스 제주,07.25.Tue,84579,1,9.0,4,"제주, 대한민국"
신신호텔 천지연,07.25.Tue,28788,1,7.9,등급 정보 없음,"서귀포, 대한민국"
아이미제주비치호텔,07.25.Tue,56232,1,7.2,등급 정보 없음,"제주, 대한민국"
블룸 호텔,07.25.Tue,103155,1,8.3,등급 정보 없음,"서귀포, 대한민국"
켄싱턴리조트 제주한림,07.25.Tue,200826,1,8.5,등급 정보 없음,"제주, 대한민국"
제주 오리엔탈 호텔,07.25.Tue,90365,1,7.5,5,"제주, 대한민국"
오션스타,07.25.Tue,122807,1,평점없음,3,"서귀포, 대한민국"
호텔 스카이파크 제주 1호점,07.25.Tue,72232,1,7.8,3,"제주, 대한민국"
제주 노블레스 관광호텔,07.25.Tue,54231,1,7.8,3,"제주, 대한민국"
제주 아리아 호텔,07.25.Tue,79029,1,8.4,2,"서귀포, 대한민국"
로긴 리조트,07.25.Tue,106166,1,8.9,3,"제주, 대한민국"
파크 선샤인 제주,07.25.Tue,95122,1,8.9,4,"서귀포, 대한민국"
제주 파인힐 호텔,07.25.Tue,26527,1,8.2,3,"서귀포, 대한민국"
르메인호텔 서귀포,07.25.Tue,68994,1,8.9,4,"서귀포, 대한민국"
비스타케이 호텔 월드컵,07.25.Tue,27182,1,7.9,3,"서귀포, 대한민국"
호텔 비,07.25.Tue,27908,1,7.0,3,"제주, 대한민국"
호텔 더 원,07.25.Tue,47968,1,7.4,3,"제주, 대한민국"
에코그린 리조트,07.25.Tue,193889,1,7.9,3,"제주, 대한민국"
제주 마레보 리조트,07.25.Tue,135975,1,7.6,4,"제주, 대한민국"
켄싱턴리조트 제주중문,07.25.Tue,362727,1,9.2,3,"서귀포, 대한민국"
제주 팔레스 호텔,07.25.Tue,43315,1,7.7,등급 정보 없음,"제주, 대한민국"
아름다운 리조트,07.25.Tue,36322,1,7.5,등급 정보 없음,"서귀포, 대한민국"
오션 팰리스 호텔,07.25.Tue,43568,1,7.4,등급 정보 없음,"서귀포, 대한민국"
어반아일랜드 호텔,07.25.Tue,55508,1,7.4,등급 정보 없음,"제주, 대한민국"
호텔하루시다,07.25.Tue,239670,1,9.5,등급 정보 없음,"서귀포, 대한민국"
오크라 리조트,07.25.Tue,94607,1,10.0,3,"서귀포, 대한민국"
그랜드메르 호텔 제주,07.25.Tue,42410,1,7.2,3,"서귀포, 대한민국"
금능 이큐 스테이,07.25.Tue,56364,1,8.0,4,"제주, 대한민국"
팜밸리 리조트,07.25.Tue,114463,1,8.4,4,"서귀포, 대한민국"
라마다 바이 윈덤 제주 더 함덕,07.25.Tue,60833,1,7.8,4,"제주, 대한민국"
