date,week,car_name,price,engine,seater
2023-07-25,화,모닝 어반 ,39600,가솔린 ,5
2023-07-25,화,스파크 ,39600,가솔린 ,5
2023-07-25,화,캐스퍼 ,49500,가솔린 ,4
2023-07-25,화,XM3 1.4 ,52500,가솔린 ,5
2023-07-25,화,더 뉴 코나 4WD ,56000,가솔린 ,5
2023-07-25,화,코나 ,56000,가솔린 ,5
2023-07-25,화,더 뉴 K3 ,58500,가솔린 ,5
2023-07-25,화,올 뉴 아반떼 ,58500,가솔린 ,5
2023-07-25,화,디 올 뉴 코나 4WD ,60000,가솔린 ,5
2023-07-25,화,셀토스 4WD ,60000,디젤 ,5
2023-07-25,화,셀토스 4WD ,60000,가솔린 ,5
2023-07-25,화,트레일 블레이저 2WD ,60000,가솔린 ,5
2023-07-25,화,코나 ,64000,전기 ,5
2023-07-25,화,INTERACTIVE K5 ,68000,가솔린 ,5
2023-07-25,화,니로 ,68000,전기 ,5
2023-07-25,화,쏘나타 DN8 ,68000,가솔린 ,5
2023-07-25,화,토레스 4WD ,70000,가솔린 ,5
2023-07-25,화,싼타페 TM 4WD  ,84000,디젤 ,7
2023-07-25,화,더 뉴 싼타페 4WD  ,88000,디젤 ,7
2023-07-25,화,더 뉴 카니발  ,88000,디젤 ,11
2023-07-25,화,더 뉴 카니발  ,88000,디젤 ,9
2023-07-25,화,쏘렌토 MQ4 4WD ,88000,디젤 ,7
2023-07-25,화,THE NEW G70 2.0 ,89600,가솔린 ,5
2023-07-25,화,G70 SHOOTING BRAKE ,92000,가솔린 ,5
2023-07-25,화,스타리아  ,92000,디젤 ,11
2023-07-25,화,카니발 KA4  ,92000,디젤 ,9
2023-07-25,화,K8 2.5 ,100000,가솔린 ,5
2023-07-25,화,GV60 4WD ,112000,전기 ,5
2023-07-25,화,TESLA MODEL 3 ,115500,전기 ,5
2023-07-25,화,팰리세이드 4WD  ,115500,디젤 ,8
2023-07-25,화,THE K9 3.8 ,133000,가솔린 ,5
2023-07-25,화,카니발 KA4 하이리무진 ,144000,가솔린 ,7
2023-07-25,화,All New G80 ,150500,전기 ,5
2023-07-25,화,GV80 4WD  ,160000,디젤 ,7
2023-07-25,화,쏠라티 ,247500,디젤 ,15
2023-07-26,수,모닝 어반 ,57200,가솔린 ,5
2023-07-26,수,스파크 ,57200,가솔린 ,5
2023-07-26,수,더 뉴 레이 ,63050,가솔린 ,5
2023-07-26,수,캐스퍼 ,71500,가솔린 ,4
2023-07-26,수,ALL NEW K3 ,78000,가솔린 ,5
2023-07-26,수,더 뉴 K3 ,84500,가솔린 ,5
2023-07-26,수,올 뉴 아반떼 ,84500,가솔린 ,5
2023-07-26,수,코나 ,88000,전기 ,5
2023-07-26,수,XM3 1.4 ,90000,가솔린 ,5
2023-07-26,수,디 올 뉴 코나 4WD ,90000,가솔린 ,5
2023-07-26,수,베리 뉴 티볼리 ,90000,가솔린 ,5
2023-07-26,수,셀토스 4WD ,90000,가솔린 ,5
2023-07-26,수,트레일 블레이저 2WD ,90000,가솔린 ,5
2023-07-26,수,니로 ,93500,전기 ,5
2023-07-26,수,INTERACTIVE K5 ,102000,가솔린 ,5
2023-07-26,수,쏘나타 DN8 ,102000,가솔린 ,5
2023-07-26,수,토레스 4WD ,110000,가솔린 ,5
2023-07-26,수,EV6 4WD ,121000,전기 ,5
2023-07-26,수,더 뉴 카니발  ,121000,디젤 ,9
2023-07-26,수,아이오닉 5 4WD ,121000,전기 ,5
2023-07-26,수,싼타페 TM 4WD  ,126000,디젤 ,7
2023-07-26,수,스타리아 ,126500,디젤 ,11
2023-07-26,수,카니발 KA4  ,126500,디젤 ,9
2023-07-26,수,더 뉴 싼타페 4WD ,132000,디젤 ,7
2023-07-26,수,쏘렌토 MQ4 4WD ,132000,디젤 ,7
2023-07-26,수,THE NEW G70 2.0 ,134400,가솔린 ,5
2023-07-26,수,G70 SHOOTING BRAKE ,138000,가솔린 ,5
2023-07-26,수,K8 2.5 ,150000,가솔린 ,5
2023-07-26,수,GV60 4WD ,154000,전기 ,5
2023-07-26,수,TESLA MODEL 3 ,165000,전기 ,5
2023-07-26,수,제네시스 G80 3.3 ,165000,가솔린 ,5
2023-07-26,수,팰리세이드 4WD ,181500,디젤 ,8
2023-07-26,수,THE K9 3.8 ,190000,가솔린 ,5
2023-07-26,수,카니발 KA4 하이리무진 ,198000,가솔린 ,7
2023-07-26,수,All New G80 ,215000,전기 ,5
2023-07-26,수,GV80 4WD ,240000,디젤 ,7
2023-07-26,수,쏠라티 ,330000,디젤 ,15
2023-07-27,목,모닝 어반 ,70400,가솔린 ,5
2023-07-27,목,캐스퍼 ,88000,가솔린 ,4
2023-07-27,목,ALL NEW K3 ,96000,가솔린 ,5
2023-07-27,목,XM3 1.4 ,97500,가솔린 ,5
2023-07-27,목,디 올 뉴 코나 4WD ,97500,가솔린 ,5
2023-07-27,목,베리 뉴 티볼리 ,97500,가솔린 ,5
2023-07-27,목,트레일 블레이저 2WD ,97500,가솔린 ,5
2023-07-27,목,더 뉴 K3 ,104000,가솔린 ,5
2023-07-27,목,올 뉴 아반떼 ,104000,가솔린 ,5
2023-07-27,목,코나 ,104000,전기 ,5
2023-07-27,목,쏘나타 DN8 ,110500,가솔린 ,5
2023-07-27,목,토레스 4WD ,120000,가솔린 ,5
2023-07-27,목,K7 PREMIER ,128700,가솔린 ,5
2023-07-27,목,더 뉴 그랜저 2.5 ,128700,가솔린 ,5
2023-07-27,목,K8 2.5 ,137500,가솔린 ,5
2023-07-27,목,EV6 4WD ,143000,전기 ,5
2023-07-27,목,더 뉴 싼타페 4WD  ,143000,디젤 ,7
2023-07-27,목,쏘렌토 MQ4 4WD ,143000,디젤 ,7
2023-07-27,목,아이오닉 5 4WD ,143000,전기 ,5
2023-07-27,목,THE NEW G70 2.0 ,145600,가솔린 ,5
2023-07-27,목,G70 SHOOTING BRAKE ,149500,가솔린 ,5
2023-07-27,목,All New G80 2.5 ,150000,가솔린 ,5
2023-07-27,목,제네시스 G80 3.3 ,150000,가솔린 ,5
2023-07-27,목,더 뉴 카니발  ,165000,디젤 ,9
2023-07-27,목,스타리아  ,172500,디젤 ,11
2023-07-27,목,카니발 KA4  ,172500,디젤 ,9
2023-07-27,목,GV60 4WD ,182000,전기 ,5
2023-07-27,목,더 뉴 카니발 리무진  ,187500,디젤 ,7
2023-07-27,목,THE K9 3.8 ,190000,가솔린 ,5
2023-07-27,목,TESLA MODEL 3 ,198000,전기 ,5
2023-07-27,목,팰리세이드 4WD  ,198000,디젤 ,8
2023-07-27,목,GV80 4WD ,240000,디젤 ,7
2023-07-27,목,G90 3.8 ,245000,가솔린 ,5
2023-07-27,목,카니발 KA4 하이리무진 ,252000,가솔린 ,7
2023-07-27,목,All New G80 ,258000,전기 ,5
2023-07-27,목,쏠라티 ,467500,디젤 ,15
2023-07-28,금,디 올 뉴 코나 4WD ,112500,가솔린 ,5
2023-07-28,금,베리 뉴 티볼리 ,112500,가솔린 ,5
2023-07-28,금,트레일 블레이저 2WD ,112500,가솔린 ,5
2023-07-28,금,ALL NEW K3 ,114000,가솔린 ,5
2023-07-28,금,아반떼 AD ,114000,가솔린 ,5
2023-07-28,금,더 뉴 K3 ,123500,가솔린 ,5
2023-07-28,금,쏘울 부스터 ,123500,가솔린 ,5
2023-07-28,금,올 뉴 아반떼 ,123500,가솔린 ,5
2023-07-28,금,쏘나타 DN8 ,127500,가솔린 ,5
2023-07-28,금,토레스 4WD ,130000,가솔린 ,5
2023-07-28,금,EV6 4WD ,143000,전기 ,5
2023-07-28,금,아이오닉 5 4WD ,143000,전기 ,5
2023-07-28,금,K7 PREMIER ,152100,가솔린 ,5
2023-07-28,금,더 뉴 그랜저 2.5 ,152100,가솔린 ,5
