name,leavetime,reachtime,seat,charge,date,day,airport,leavehour
에어서울,600,700,할인석,65600,2023-07-25,화,GMP,6
에어서울,600,700,일반석,71100,2023-07-25,화,GMP,6
진에어,605,720,할인석,70600,2023-07-25,화,GMP,6
진에어,605,720,일반석,119700,2023-07-25,화,GMP,6
이스타항공,610,720,할인석,63600,2023-07-25,화,GMP,6
아시아나항공,610,720,할인석,78700,2023-07-25,화,GMP,6
이스타항공,610,720,일반석,119600,2023-07-25,화,GMP,6
아시아나항공,610,720,일반석,132700,2023-07-25,화,GMP,6
이스타항공,615,725,할인석,63600,2023-07-25,화,GMP,6
진에어,615,725,할인석,64600,2023-07-25,화,GMP,6
제주항공,615,730,할인석,89600,2023-07-25,화,GMP,6
제주항공,615,730,일반석,119200,2023-07-25,화,GMP,6
이스타항공,615,725,일반석,119600,2023-07-25,화,GMP,6
진에어,615,725,일반석,119700,2023-07-25,화,GMP,6
제주항공,625,735,할인석,71600,2023-07-25,화,GMP,6
제주항공,625,735,일반석,119200,2023-07-25,화,GMP,6
티웨이항공,640,750,할인석,66760,2023-07-25,화,GMP,6
대한항공,640,750,특가석,71700,2023-07-25,화,GMP,6
아시아나항공,640,750,할인석,72700,2023-07-25,화,GMP,6
대한항공,640,750,할인석,83700,2023-07-25,화,GMP,6
티웨이항공,640,750,일반석,118700,2023-07-25,화,GMP,6
대한항공,640,750,일반석,129700,2023-07-25,화,GMP,6
아시아나항공,640,750,일반석,132700,2023-07-25,화,GMP,6
에어부산,645,805,할인석,63580,2023-07-25,화,GMP,6
에어부산,645,805,일반석,118700,2023-07-25,화,GMP,6
이스타항공,650,755,할인석,68600,2023-07-25,화,GMP,6
이스타항공,650,755,일반석,119600,2023-07-25,화,GMP,6
티웨이항공,700,810,할인석,62010,2023-07-25,화,GMP,7
대한항공,700,810,특가석,71700,2023-07-25,화,GMP,7
제주항공,700,810,할인석,78600,2023-07-25,화,GMP,7
대한항공,700,810,할인석,83700,2023-07-25,화,GMP,7
티웨이항공,700,810,일반석,118700,2023-07-25,화,GMP,7
제주항공,700,810,일반석,119200,2023-07-25,화,GMP,7
대한항공,700,810,일반석,129700,2023-07-25,화,GMP,7
에어부산,710,830,할인석,60400,2023-07-25,화,GMP,7
에어부산,710,830,일반석,118700,2023-07-25,화,GMP,7
대한항공,715,825,특가석,71700,2023-07-25,화,GMP,7
대한항공,715,825,할인석,83700,2023-07-25,화,GMP,7
대한항공,715,825,일반석,129700,2023-07-25,화,GMP,7
에어부산,725,835,할인석,62520,2023-07-25,화,GMP,7
아시아나항공,725,835,할인석,72700,2023-07-25,화,GMP,7
에어부산,725,835,일반석,118700,2023-07-25,화,GMP,7
아시아나항공,725,835,일반석,132700,2023-07-25,화,GMP,7
대한항공,730,840,할인석,83700,2023-07-25,화,GMP,7
대한항공,730,840,일반석,129700,2023-07-25,화,GMP,7
제주항공,740,850,할인석,89600,2023-07-25,화,GMP,7
제주항공,740,850,일반석,119200,2023-07-25,화,GMP,7
이스타항공,755,905,할인석,68600,2023-07-25,화,GMP,7
아시아나항공,755,905,할인석,78700,2023-07-25,화,GMP,7
이스타항공,755,905,일반석,119600,2023-07-25,화,GMP,7
아시아나항공,755,905,일반석,132700,2023-07-25,화,GMP,7
에어부산,800,920,할인석,62520,2023-07-25,화,GMP,8
에어부산,800,920,일반석,118700,2023-07-25,화,GMP,8
대한항공,810,920,일반석,129700,2023-07-25,화,GMP,8
티웨이항공,815,925,할인석,66760,2023-07-25,화,GMP,8
티웨이항공,815,925,일반석,118700,2023-07-25,화,GMP,8
아시아나항공,820,935,할인석,84700,2023-07-25,화,GMP,8
아시아나항공,820,935,일반석,132700,2023-07-25,화,GMP,8
아시아나항공,830,940,할인석,84700,2023-07-25,화,GMP,8
아시아나항공,830,940,일반석,132700,2023-07-25,화,GMP,8
대한항공,855,1005,할인석,106700,2023-07-25,화,GMP,8
대한항공,855,1005,일반석,129700,2023-07-25,화,GMP,8
제주항공,900,1010,할인석,81600,2023-07-25,화,GMP,9
대한항공,900,1010,할인석,118700,2023-07-25,화,GMP,9
제주항공,900,1010,일반석,119200,2023-07-25,화,GMP,9
대한항공,900,1010,일반석,129700,2023-07-25,화,GMP,9
에어서울,915,1025,할인석,69600,2023-07-25,화,GMP,9
에어서울,915,1025,일반석,75300,2023-07-25,화,GMP,9
대한항공,930,1040,일반석,129700,2023-07-25,화,GMP,9
티웨이항공,945,1055,할인석,76260,2023-07-25,화,GMP,9
티웨이항공,945,1055,일반석,118700,2023-07-25,화,GMP,9
이스타항공,950,1105,할인석,73600,2023-07-25,화,GMP,9
아시아나항공,950,1100,할인석,84700,2023-07-25,화,GMP,9
이스타항공,950,1105,일반석,119600,2023-07-25,화,GMP,9
아시아나항공,950,1100,일반석,132700,2023-07-25,화,GMP,9
아시아나항공,1015,1125,할인석,84700,2023-07-25,화,GMP,10
아시아나항공,1015,1125,일반석,132700,2023-07-25,화,GMP,10
진에어,1030,1145,할인석,70600,2023-07-25,화,GMP,10
티웨이항공,1030,1140,할인석,71510,2023-07-25,화,GMP,10
티웨이항공,1030,1140,일반석,118700,2023-07-25,화,GMP,10
진에어,1030,1145,일반석,119700,2023-07-25,화,GMP,10
제주항공,1035,1135,할인석,89600,2023-07-25,화,GMP,10
제주항공,1035,1135,일반석,119200,2023-07-25,화,GMP,10
아시아나항공,1040,1150,할인석,78700,2023-07-25,화,GMP,10
아시아나항공,1040,1150,일반석,132700,2023-07-25,화,GMP,10
이스타항공,1055,1205,할인석,68600,2023-07-25,화,GMP,10
이스타항공,1055,1205,일반석,119600,2023-07-25,화,GMP,10
진에어,1100,1205,할인석,66600,2023-07-25,화,GMP,11
진에어,1100,1205,일반석,119700,2023-07-25,화,GMP,11
에어부산,1110,1230,할인석,64640,2023-07-25,화,GMP,11
에어부산,1110,1230,일반석,118700,2023-07-25,화,GMP,11
아시아나항공,1115,1225,할인석,78700,2023-07-25,화,GMP,11
아시아나항공,1115,1225,일반석,132700,2023-07-25,화,GMP,11
제주항공,1130,1230,할인석,89600,2023-07-25,화,GMP,11
제주항공,1130,1230,일반석,119200,2023-07-25,화,GMP,11
이스타항공,1140,1250,할인석,63600,2023-07-25,화,GMP,11
이스타항공,1140,1250,일반석,119600,2023-07-25,화,GMP,11
하이에어,1145,1315,특가석,62100,2023-07-25,화,GMP,11
티웨이항공,1145,1255,할인석,66760,2023-07-25,화,GMP,11
티웨이항공,1145,1255,일반석,118700,2023-07-25,화,GMP,11
하이에어,1145,1315,일반석,118700,2023-07-25,화,GMP,11
