date,week,car_name,price,engine,seater,,,,,
2023.7.29,토,모닝 어반 ,"88,000원",가솔린 ,5,,,,,
2023.7.29,토,디 올 뉴 코나 4WD ,"112,500원",가솔린 ,5,,,,,
2023.7.29,토,셀토스 4WD ,"112,500원",가솔린 ,5,,,,,
2023.7.29,토,아반떼 AD ,"114,000원",가솔린 ,5,,,,,
2023.7.29,토,더 뉴 K3 ,"123,500원",가솔린 ,5,,,,,
2023.7.29,토,쏘울 부스터 ,"123,500원",가솔린 ,5,,,,,
2023.7.29,토,올 뉴 아반떼 ,"123,500원",가솔린 ,5,,,,,
2023.7.29,토,INTERACTIVE K5 ,"127,500원",가솔린 ,5,,,,,
2023.7.29,토,쏘나타 DN8 ,"127,500원",가솔린 ,5,,,,,
2023.7.29,토,토레스 4WD ,"130,000원",가솔린 ,5,,,,,
2023.7.29,토,EV6 4WD ,"143,000원",전기 ,5,,,,,
2023.7.29,토,아이오닉 5 4WD ,"143,000원",전기 ,5,,,,,
2023.7.29,토,K7 PREMIER ,"152,100원",가솔린 ,5,,,,,
2023.7.29,토,더 뉴 그랜저 2.5 ,"152,100원",가솔린 ,5,,,,,
2023.7.29,토,싼타페 TM 4WD  ,"157,500원",디젤 ,7,,,,,
2023.7.29,토,K8 2.5 ,"162,500원",가솔린 ,5,,,,,
2023.7.29,토,All New G80 2.5 ,"165,000원",가솔린 ,5,,,,,
2023.7.29,토,쏘렌토 MQ4 4WD ,"165,000원",디젤 ,7,,,,,
2023.7.29,토,제네시스 G80 3.3 ,"165,000원",가솔린 ,5,,,,,
2023.7.29,토,THE NEW G70 2.0 ,"168,000원",가솔린 ,5,,,,,
2023.7.29,토,G70 SHOOTING BRAKE ,"172,500원",가솔린 ,5,,,,,
2023.7.29,토,GV60 4WD ,"182,000원",전기 ,5,,,,,
2023.7.29,토,GV70 ,"195,000원",전기 ,5,,,,,
2023.7.29,토,TESLA MODEL 3 ,"198,000원",전기 ,5,,,,,
2023.7.29,토,THE K9 3.8 ,"209,000원",가솔린 ,5,,,,,
2023.7.29,토,팰리세이드 4WD ,"214,500원",디젤 ,8,,,,,
2023.7.29,토,All New G80 ,"258,000원",전기 ,5,,,,,
2023.7.29,토,GV80 4WD ,"260,000원",디젤 ,7,,,,,
2023.7.29,토,G90 3.8 ,"269,500원",가솔린 ,5,,,,,
2023.7.29,토,카니발 KA4 하이리무진 ,"306,000원",가솔린 ,7,,,,,
2023.7.29,토,쏠라티 ,"550,000원",디젤 ,15,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
