date,week,car_name,price,engine,seater
2023.8.1,화,스파크 ,"74,800원",가솔린 ,5
2023.8.1,화,코나 ,"77,000원",가솔린 ,5
2023.8.1,화,XM3 1.4 ,"82,500원",가솔린 ,5
2023.8.1,화,ALL NEW K3 ,"90,000원",가솔린 ,5
2023.8.1,화,아반떼 AD ,"90,000원",가솔린 ,5
2023.8.1,화,토레스 4WD ,"90,000원",가솔린 ,5
2023.8.1,화,INTERACTIVE K5 ,"93,500원",가솔린 ,5
2023.8.1,화,쏘나타 DN8 ,"93,500원",가솔린 ,5
2023.8.1,화,캐스퍼 ,"93,500원",가솔린 ,4
2023.8.1,화,더 뉴 K3 ,"97,500원",가솔린 ,5
2023.8.1,화,올 뉴 아반떼 ,"97,500원",가솔린 ,5
2023.8.1,화,쏘렌토 MQ4 4WD ,"99,000원",디젤 ,7
2023.8.1,화,K7 PREMIER ,"105,300원",가솔린 ,5
2023.8.1,화,더 뉴 카니발 ,"110,000원",디젤 ,9
2023.8.1,화,스타리아  ,"115,000원",디젤 ,11
2023.8.1,화,싼타페 TM 4WD ,"115,500원",디젤 ,7
2023.8.1,화,더 뉴 그랜저 2.5 ,"117,000원",가솔린 ,5
2023.8.1,화,All New G80 2.5 ,"120,000원",가솔린 ,5
2023.8.1,화,제네시스 G80 3.3 ,"120,000원",가솔린 ,5
2023.8.1,화,EV6 4WD ,"121,000원",전기 ,5
2023.8.1,화,더 뉴 싼타페 4WD ,"121,000원",디젤 ,7
2023.8.1,화,아이오닉 5 4WD ,"121,000원",전기 ,5
2023.8.1,화,THE NEW G70 2.0 ,"123,200원",가솔린 ,5
2023.8.1,화,K8 2.5 ,"125,000원",가솔린 ,5
2023.8.1,화,더 뉴 카니발 리무진 ,"125,000원",디젤 ,7
2023.8.1,화,G70 SHOOTING BRAKE ,"126,500원",가솔린 ,5
2023.8.1,화,카니발 KA4  ,"138,000원",디젤 ,9
2023.8.1,화,카니발 KA4 하이리무진 ,"144,000원",가솔린 ,7
2023.8.1,화,TESLA MODEL 3 ,"148,500원",전기 ,5
2023.8.1,화,팰리세이드 4WD ,"148,500원",디젤 ,8
2023.8.1,화,THE K9 3.8 ,"152,000원",가솔린 ,5
2023.8.1,화,GV60 4WD ,"154,000원",전기 ,5
2023.8.1,화,GV70 4WD ,"154,000원",디젤 ,5
2023.8.1,화,GV70 ,"165,000원",전기 ,5
2023.8.1,화,GV80 4WD  ,"180,000원",디젤 ,7
2023.8.1,화,All New G80 ,"193,500원",전기 ,5
2023.8.1,화,G90 3.8 ,"196,000원",가솔린 ,5
2023.8.1,화,쏠라티 ,"330,000원",디젤 ,15
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
