date,week,car_name,price,engine,seater,
2023.8.13,일,베뉴 ,"48,000원",가솔린 ,5,
2023.8.13,일,ALL NEW K3 ,"60,000원",가솔린 ,5,
2023.8.13,일,베리 뉴 티볼리 에어 ,"60,000원",가솔린 ,5,
2023.8.13,일,셀토스 2WD ,"60,000원",가솔린 ,5,
2023.8.13,일,아반떼 AD ,"60,000원",가솔린 ,5,
2023.8.13,일,더 뉴 K3 ,"65,000원",가솔린 ,5,
2023.8.13,일,쏘울 부스터 ,"65,000원",가솔린 ,5,
2023.8.13,일,올 뉴 아반떼 ,"65,000원",가솔린 ,5,
2023.8.13,일,모닝 어반 ,"66,000원",가솔린 ,5,
2023.8.13,일,그랜저 IG 3.0 ,"67,200원",가솔린 ,5,
2023.8.13,일,LF 쏘나타 뉴라이즈 ,"67,500원",가솔린 ,5,
2023.8.13,일,XM3 1.4 ,"67,500원",가솔린 ,5,
2023.8.13,일,베리 뉴 티볼리 ,"67,500원",가솔린 ,5,
2023.8.13,일,K7 PREMIER ,"70,200원",가솔린 ,5,
2023.8.13,일,더 뉴 그랜저 2.5 ,"70,200원",가솔린 ,5,
2023.8.13,일,INTERACTIVE K5 ,"72,000원",LPG ,5,
2023.8.13,일,쏘나타 DN8 ,"72,000원",LPG ,5,
2023.8.13,일,K8 2.5 ,"75,000원",가솔린 ,5,
2023.8.13,일,INTERACTIVE K5 ,"76,500원",가솔린 ,5,
2023.8.13,일,니로 ,"76,500원",전기 ,5,
2023.8.13,일,쏘나타 DN8 ,"76,500원",가솔린 ,5,
2023.8.13,일,싼타페 TM 2WD  ,"80,000원",디젤 ,7,
2023.8.13,일,캐스퍼 ,"82,500원",가솔린 ,4,
2023.8.13,일,All New G80 2.5 ,"90,000원",가솔린 ,5,
2023.8.13,일,제네시스 G80 3.3 ,"90,000원",가솔린 ,5,
2023.8.13,일,토레스 4WD ,"90,000원",가솔린 ,5,
2023.8.13,일,더 마스터 쏘렌토 4WD  ,"94,500원",디젤 ,7,
2023.8.13,일,싼타페 TM 4WD ,"94,500원",디젤 ,7,
2023.8.13,일,EV6 4WD ,"99,000원",전기 ,5,
2023.8.13,일,더 뉴 싼타페 4WD ,"99,000원",디젤 ,7,
2023.8.13,일,쏘렌토 MQ4 4WD ,"99,000원",디젤 ,7,
2023.8.13,일,아이오닉 5 4WD ,"99,000원",전기 ,5,
2023.8.13,일,THE NEW G70 2.0 ,"100,800원",가솔린 ,5,
2023.8.13,일,G70 SHOOTING BRAKE ,"103,500원",가솔린 ,5,
2023.8.13,일,더 뉴 그랜드 스타렉스 ,"110,000원",디젤 ,12,
2023.8.13,일,올 뉴 카니발 ,"110,000원",디젤 ,9,
2023.8.13,일,THE K9 3.8 ,"114,000원",가솔린 ,5,
2023.8.13,일,TESLA MODEL 3 ,"115,500원",전기 ,5,
2023.8.13,일,더 뉴 카니발 ,"121,000원",디젤 ,9,
2023.8.13,일,GV60 4WD ,"126,000원",전기 ,5,
2023.8.13,일,GV70 4WD ,"126,000원",디젤 ,5,
2023.8.13,일,카니발 KA4 ,"126,500원",디젤 ,9,
2023.8.13,일,팰리세이드 4WD ,"132,000원",디젤 ,8,
2023.8.13,일,GV70 ,"135,000원",전기 ,5,
2023.8.13,일,더 뉴 카니발 리무진 ,"137,500원",디젤 ,7,
2023.8.13,일,G90 3.8 ,"147,000원",가솔린 ,5,
2023.8.13,일,All New G80 ,"150,500원",전기 ,5,
2023.8.13,일,GV80 4WD ,"160,000원",디젤 ,7,
2023.8.13,일,카니발 KA4 하이리무진 ,"162,000원",가솔린 ,7,
2023.8.13,일,쏠라티 ,"357,500원",디젤 ,15,
2023.8.13,일,아반떼 AD ,"60,000원",가솔린 ,5,
2023.8.13,일,LF 쏘나타 뉴라이즈 ,"63,000원",LPG ,5,
2023.8.13,일,더 뉴 코나 4WD ,"63,000원",가솔린 ,5,
2023.8.13,일,아이오닉 ,"63,000원",전기 ,5,
2023.8.13,일,코나 ,"63,000원",가솔린 ,5,
2023.8.13,일,스파크 ,"66,000원",가솔린 ,5,
2023.8.13,일,디 올 뉴 코나 4WD ,"67,500원",가솔린 ,5,
2023.8.13,일,셀토스 4WD ,"67,500원",디젤 ,5,
2023.8.13,일,셀토스 4WD ,"67,500원",가솔린 ,5,
2023.8.13,일,트레일 블레이저 2WD ,"67,500원",가솔린 ,5,
2023.8.13,일,코나 ,"72,000원",전기 ,5,
2023.8.13,일,더 뉴 레이 ,"72,750원",가솔린 ,5,
2023.8.13,일,더 뉴 카니발 ,"121,000원",디젤 ,11,
2023.8.13,일,스타리아 ,"126,500원",디젤 ,11,
